"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count
134,FRANZIA,franzia,,,,,245
243,"OAK LEAF",oak-leaf,,,,,110
280,"GRAY FOX",gray-fox,,,,,32
287,FOXHORN,foxhorn,,,,,17
294,"YOSEMITE RD",yosemite-rd,,,,,30
300,"RUNNING W/SCISSORS",running-w-scissors,,,,,
302,"PINOT EVIL",pinot-evil,,,,,3
305,"CORBETT CANYON",corbett-canyon,,,,,53
319,TRIBUNO,tribuno,,,,,18
333,SIGNATERRA,signaterra,,,,,22
339,"FISH EYE",fish-eye,,,,,156
369,"OAK CREEK",oak-creek,,,,,10
375,"PACIFIC PEAK",pacific-peak,,,,,26
386,BENZIGER,benziger,,,,,231
389,LEJON,lejon,,,,,3
394,SUMMERFIELD,summerfield,,,,,
401,G&amp;D,gd,,,,,8
411,"FIREFLY RIDGE",firefly-ridge,,,,,31
418,"QUAIL OAK",quail-oak,,,,,17
423,"TRIBUTE ESTATE",tribute-estate,,,,,18
427,"MOGEN DAVID",mogen-david,,,,,13
444,"MD 20/20",md-20-20,,,,,28
473,"GLEN ELLEN",glen-ellen,,,,,49
485,CONCANNON,concannon,,,,,282
556,"DOUBLE DOG DARE",double-dog-dare,,,,,17
564,"BIG HOUSE",big-house,,,,,146
592,CUPCAKE,cupcake,,,,,286
669,"BAY BRIDGE",bay-bridge,,,,,25
676,"VISTA POINT",vista-point,,,,,33
683,"MENDOZA STATION",mendoza-station,,,,,55
701,"HARTHILL FARMS",harthill-farms,,,,,16
706,PINECROFT,pinecroft,,,,,9
713,"GRAPE &amp; VINE",grape-vine,,,,,8
720,ALMADEN,almaden,,,,,39
736,CHLOE,chloe,,,,,106
753,KEMBLEFIELD,kemblefield,,,,,8
755,"BODEGAS BELGRANO",bodegas-belgrano,,,,,7
757,COCOBON,cocobon,,,,,7
761,"LUCKY DUCK",lucky-duck,,,,,10
770,"SANTIAGO STATION",santiago-station,,,,,5
773,"THREE WISHES",three-wishes,,,,,12
778,"FLIP FLOP",flip-flop,,,,,51
812,"IT?S A HEADSNAPPER",its-a-headsnapper,,,,,64
822,BLOCK,block,,,,,8
825,CUL-DE-SAC,cul-de-sac,,,,,11
832,"CUTLER CREEK",cutler-creek,,,,,8
838,"SAVE ME SAN FRANCISCO",save-me-san-francisco,,,,,34
849,PLUSH,plush,,,,,3
851,TRAPICHE,trapiche,,,,,189
890,"PUBLIX PREMIUM",publix-premium,,,,,21
894,INSURRECTION,insurrection,,,,,9
897,"LOVE NOIR",love-noir,,,,,30
903,CABANERO,cabanero,,,,,2
905,"BROWNIE POINTS",brownie-points,,,,,2
907,"10 SPAN",10-span,,,,,35
918,BRAVEHEART,braveheart,,,,,4
922,JALAPINO,jalapino,,,,,1
925,"13 CELSIUS",13-celsius,,,,,16
927,"SLOW PRESS",slow-press,,,,,50
933,"AVA GRACE",ava-grace,,,,,74
941,"WITCHING HOUR",witching-hour,,,,,15
945,"ANCIENT ROOTS",ancient-roots,,,,,7
948,"COCOBON ESTATES",cocobon-estates,,,,,11
950,"POUR HAUS",pour-haus,,,,,25
957,"STAVE &amp; STEEL",stave-steel,,,,,16
960,D'ORSAY,dorsay,,,,,3
963,CHANDELIER,chandelier,,,,,2
966,BLACKLIST,blacklist,,,,,3
968,IMAGERY,imagery,,,,,314
973,"MEMBER'S MARK",members-mark,,,,,24
975,WONDERSTRUCK,wonderstruck,,,,,1
977,PALETA,paleta,,,,,3
984,"DROPS OF JUPITER",drops-of-jupiter,,,,,12
988,"CAVE &amp; COVE",cave-cove,,,,,33
994,"YARD SALE",yard-sale,,,,,
1053,"ROYAL POST",royal-post,,,,,1
1057,"SEA SIREN",sea-siren,,,,,3
1068,"WORLD'S EDGE",worlds-edge,,,,,6
1071,"CHILL OUT",chill-out,,,,,1
1074,"VOYAGER POINT",voyager-point,,,,,19
1077,"MCMANIS FAMILY VINEYARD",mcmanis-family-vineyard,,,,,56
1090,CONTRABAND,contraband,,,,,4
1100,PLUMMY,plummy,,,,,1
1102,"SLOW CHURN",slow-churn,,,,,2
1116,"TAILOR MADE",tailor-made,,,,,24
1139,"MADE BY JAMES",made-by-james,,,,,9
1186,"BUCKET LIST",bucket-list,,,,,7
1194,"CREATIVE JUICE",creative-juice,,,,,10
1215,"SILVER GATE",silver-gate,,,,,54
1222,"BESO DEL SOL",beso-del-sol,,,,,23
1258,"7 DEADLY",7-deadly,,,,,93
1284,TRIBUTE,tribute,,,,,37
