"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count
138,"VINTNERS SELECT",vintners-select,,,,,175
150,"WORLD CLASSIC",world-classic,,,,,39
153,"HOUSE WINE FAVORITES",house-wine-favorites,,,,,62
170,"NO TIER",no-tier,,,,,3582
335,"ESTATE SUNNY SLOPE",estate-sunny-slope,,,,,24
404,DESSERT,dessert,,,,,2
407,VERMOUTH,vermouth,,,,,6
446,"MD UNDER 14%",md-under-14,,,,,27
475,RESERVE,reserve,,,,,177
487,"CLONE 7",clone-7,,,,,4
492,"RESERVE NINA'S CUVEE",reserve-ninas-cuvee,,,,,8
494,"SELECTED VINEYARD",selected-vineyard,,,,,35
498,"RESERVE POLO FIELDS",reserve-polo-fields,,,,,4
502,"RESERVE CAPTAIN JOE'S",reserve-captain-joes,,,,,6
514,HERITAGE,heritage,,,,,28
519,"RESERVE MOTHER VINE",reserve-mother-vine,,,,,6
523,"RESERVE SM",reserve-sm,,,,,5
537,VINEYARD,vineyard,,,,,25
599,"SPECIAL SELECT",special-select,,,,,29
610,"WINEMAKERS BLEND",winemakers-blend,,,,,3
646,SPARKLING,sparkling,,,,,69
666,VODKA,vodka,,,,,
691,"SELECT ESPECIAL",select-especial,,,,,7
724,MOUNTAIN,mountain,,,,,19
745,"WINEMAKERS SELECT",winemakers-select,,,,,5
781,FIZZY,fizzy,,,,,6
853,COLETTO,coletto,,,,,4
855,ESCOBAR,escobar,,,,,
857,VARIETALS,varietals,,,,,59
860,BROQUEL,broquel,,,,,22
862,"OAK CASK",oak-cask,,,,,69
868,MEDALLA,medalla,,,,,7
889,"GIFT PACK",gift-pack,,,,,37
909,CONSERVANCY,conservancy,,,,,24
911,"CENTRAL COAST",central-coast,,,,,29
1016,"ESTATE THREE BLOCKS",estate-three-blocks,,,,,11
1020,"AVA SERIES",ava-series,,,,,27
1022,"UPPER RIDGE",upper-ridge,,,,,61
1039,ESTATE,estate,,,,,35
1094,"Estate Oonapais",estate-oonapais,,,,,11
1111,PURE,pure,,,,,6
1114,"GRAN MEDALLA",gran-medalla,,,,,2
1137,"FRANK JOHNSON VINEYARD",frank-johnson-vineyard,,,,,7
1143,EMPTY,empty,,,,,2
1146,"MARKETING SAMPLE",marketing-sample,,,,,
1166,"PERFILES GRAVA",perfiles-grava,,,,,2
1168,"PERFILES TEXTRA",perfiles-textra,,,,,2
1170,"CLONE 8",clone-8,,,,,1
1174,"OAK CASK VINTNER SELECT",oak-cask-vintner-select,,,,,4
1176,"BROQUEL VINTNER SELECT",broquel-vintner-select,,,,,4
1200,LABORDE,laborde,,,,,1
1203,ISCAY,iscay,,,,,3
1243,ORELLANA,orellana,,,,,2
1263,"SINNER'S SELECT",sinners-select,,,,,14
1304,CAMENA,camena,,,,,5
1307,"Canadian Whiskey Barrel",canadian-whiskey-barrel,,,,,4
1319,"Estate Maria de Paradiso",estate-maria-de-paradiso,,,,,5
1321,"Estate Tribute",estate-tribute,,,,,1
1323,"Estate Tribute Acropolis",estate-tribute-acropolis,,,,,6
1335,"SUNNY SLOPE",sunny-slope,,,,,6
1341,"FRENCH CAMP",french-camp,,,,,6
1346,PALLAS,pallas,,,,,22
1368,"SHELL CREEK",shell-creek,,,,,4
1370,"AVA Solstice Blend",ava-solstice-blend,,,,,7
1382,QUINTUS,quintus,,,,,5
1384,"ARBORE SACRA",arbore-sacra,,,,,6
1386,"TERRA NEUMA",terra-neuma,,,,,5
1388,"Estate Bella Luna",estate-bella-luna,,,,,3
1390,"Estate La Reyna",estate-la-reyna,,,,,5
1393,"Estate Joaquin's Inferno",estate-joaquins-inferno,,,,,5
1411,"DOMAINE DE CLARCK",domaine-de-clarck,,,,,2
1418,"Estate Obsidian Point",estate-obsidian-point,,,,,7
1425,"AVA Moon Mtn",ava-moon-mtn,,,,,2
1428,BLANK,blank,,,,,2
1430,"AVA Calabazas Creek",ava-calabazas-creek,,,,,3
1482,"BOURBON BARREL",bourbon-barrel,,,,,6
1498,"TRAM PACK",tram-pack,,,,,11
1500,"TROLLY PACK",trolly-pack,,,,,
1502,"INTERPRETATION PACK",interpretation-pack,,,,,2
1532,"WINE CLUB KITS",wine-club-kits,,,,,13
3081,LIMITED,limited,,,,,
3131,AMBROSIA,ambrosia,,,,,
3369,LASTRA,lastra,,,,,
3473,"PERFILES CALCAREO",perfiles-calcareo,,,,,1
3487,MILAGRO,milagro,,,,,
3535,MYSTERY,mystery,,,,,6
4101,REFRESHERS,refreshers,,,,,13
5023,"SIGNATURE SWEETS",signature-sweets,,,,,5
5321,AGAVIDA,agavida,,,,,
5329,"DIA DE LOS MUERTOS",dia-de-los-muertos,,,,,3
5338,MARGARITA,margarita,,,,,118
5358,SKINNY,skinny,,,,,5
5384,RESERVA,reserva,,,,,9
5538,BUBBLES,bubbles,,,,,9
5650,"RESERVA SKINNY",reserva-skinny,,,,,2
5932,"CODE CRIMSON",code-crimson,,,,,1
5940,"STORIES &amp; SPELLS",stories-spells,,,,,1
5991,EVE,eve,,,,,6
6002,"BAND OF ROSES",band-of-roses,,,,,9
6006,"BOOM BOOM!",boom-boom,,,,,8
6012,"KUNG FU GIRL",kung-fu-girl,,,,,22
6016,"THE VELVET DEVIL",the-velvet-devil,,,,,16
6048,"CHATEAU SMITH",chateau-smith,,,,,9
6276,"MD OVER 16%",md-over-16,,,,,1
