"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count
137,CHARDONNAY,chardonnay,,,,,682
147,WHITE,white,,,,,2
149,CHABLIS,chablis,,,,,17
152,"CRISP WHITE",crisp-white,,,,,18
155,"MUSCAT (MOSCATO)",muscat-moscato,,,,,134
163,"WHITE MERLOT",white-merlot,,,,,30
165,"PINOT GRIGIO/FR COLOMBARD",pinot-grigio-fr-colombard,,,,,66
169,BLUSH,blush,,,,,21
173,ROSE,rose,,,,,191
182,"WHITE ZINFANDEL",white-zinfandel,,,,,158
189,"DARK RED BLEND",dark-red-blend,,,,,34
193,RHINE,rhine,,,,,8
195,BURGUNDY,burgundy,,,,,18
197,Red,red,,,,,155
199,"RED SANGRIA",red-sangria,,,,,35
205,CHIANTI,chianti,,,,,2
207,"CHILLABLE RED",chillable-red,,,,,15
213,"CABERNET SAUVIGNON",cabernet-sauvignon,,,,,788
216,"KIT RED MIXED",kit-red-mixed,,,,,1
222,MERLOT,merlot,,,,,296
226,"PINOT NOIR/CARMENERE",pinot-noir-carmenere,,,,,6
229,"REFRESHING WHITE",refreshing-white,,,,,2
234,"PINK MOSCATO",pink-moscato,,,,,39
240,"KIT RED/WHITE MIXED",kit-red-white-mixed,,,,,82
246,"SWEET RED",sweet-red,,,,,11
253,SHIRAZ,shiraz,,,,,36
261,"SAUVIGNON BLANC (FUME BLANC)",sauvignon-blanc-fume-blanc,,,,,307
293,"PINOT GRIGIO/CHARDONNAY",pinot-grigio-chardonnay,,,,,6
304,"PINOT NOIR",pinot-noir,,,,,304
314,"PINOT GRIGIO",pinot-grigio,,,,,338
321,"DRY VERMOUTH",dry-vermouth,,,,,13
329,"SWEET VERMOUTH",sweet-vermouth,,,,,14
361,"PINOT GRIS",pinot-gris,,,,,16
365,RIESLING,riesling,,,,,35
403,MARSALA,marsala,,,,,2
429,CONCORD,concord,,,,,6
436,BLACKBERRY,blackberry,,,,,4
441,POMEGRANATE,pomegranate,,,,,3
449,"ORANGE JUBILEE",orange-jubilee,,,,,4
453,"STRAWBERRY KIWI",strawberry-kiwi,,,,,1
455,STRAWBERRY,strawberry,,,,,40
457,"FOR ERP - BANANA RED",for-erp-banana-red,,,,,2
462,"PEACHES AND CREAM",peaches-and-cream,,,,,2
465,"BLUE RASPBERRY",blue-raspberry,,,,,3
469,"ELECTRIC MELON",electric-melon,,,,,3
472,"DRAGON FRUIT",dragon-fruit,,,,,2
489,"CRIMSON &amp; CLOVER",crimson-clover,,,,,3
491,"PETITE SIRAH",petite-sirah,,,,,54
525,STAMPMAKER'S,stampmakers,,,,,5
527,VIOGNIER,viognier,,,,,19
529,"ASSEMBLAGE RED",assemblage-red,,,,,6
531,"ASSEMBLAGE BLANC",assemblage-blanc,,,,,6
533,MALBEC,malbec,,,,,116
535,"PETITE SIRAH PORT",petite-sirah-port,,,,,4
541,GRENACHE,grenache,,,,,8
545,ZINFANDEL,zinfandel,,,,,120
547,SEMILLON,semillon,,,,,3
554,"PETIT VERDOT",petit-verdot,,,,,14
568,"BIG HOUSE RED",big-house-red,,,,,32
573,"BIG HOUSE WHITE",big-house-white,,,,,18
594,"ANGEL FOOD",angel-food,,,,,6
597,"BUTTERKISSED CHARDONNAY",butterkissed-chardonnay,,,,,17
623,"KIT (OTHER)",kit-other,,,,,1
631,"BLACK FOREST",black-forest,,,,,14
636,"RED VELVET",red-velvet,,,,,15
645,PROSECCO,prosecco,,,,,16
654,"MOSCATO DASTI",moscato-dasti,,,,,16
660,"RED SPARKLING",red-sparkling,,,,,2
663,"ROSE SPARKLING",rose-sparkling,,,,,11
665,"DEVILS FOOD",devils-food,,,,,
668,FROSTING,frosting,,,,,
693,MERLOT/MALBEC,merlot-malbec,,,,,3
699,TORRONTES,torrontes,,,,,8
715,"RED BLEND",red-blend,,,,,135
