"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count
135,M10000,m10000,,,,,
140,M10001,m10001,,,,,
143,M10002,m10002,,,,,2
146,M10004,m10004,,,,,1
148,M10005,m10005,,,,,2
151,M10006,m10006,,,,,2
154,M10007,m10007,,,,,2
156,M10009,m10009,,,,,1
157,M10010,m10010,,,,,1
160,M10011,m10011,,,,,2
161,M10012,m10012,,,,,2
162,M10013,m10013,,,,,2
164,M10014,m10014,,,,,1
166,M10015,m10015,,,,,1
167,M10016,m10016,,,,,1
168,M10017,m10017,,,,,
171,M10018,m10018,,,,,
172,M10019,m10019,,,,,
174,M10020,m10020,,,,,2
175,M10021,m10021,,,,,1
176,M10022,m10022,,,,,
178,M10023,m10023,,,,,2
179,M10024,m10024,,,,,2
180,M10025,m10025,,,,,1
181,M10028,m10028,,,,,
183,M10029,m10029,,,,,2
184,M10030,m10030,,,,,2
185,M10031,m10031,,,,,3
186,M10033,m10033,,,,,1
187,M10034,m10034,,,,,
188,M10035,m10035,,,,,
190,M10036,m10036,,,,,1
191,M10037,m10037,,,,,1
192,M10038,m10038,,,,,
194,M10039,m10039,,,,,2
196,M10041,m10041,,,,,1
198,M10042,m10042,,,,,1
200,M10043,m10043,,,,,1
201,M10044,m10044,,,,,3
202,M10045,m10045,,,,,3
203,M10046,m10046,,,,,
204,M10047,m10047,,,,,
206,M10049,m10049,,,,,1
208,M10050,m10050,,,,,1
209,M10051,m10051,,,,,1
210,M10052,m10052,,,,,2
211,M10053,m10053,,,,,2
212,M10054,m10054,,,,,3
214,M10055,m10055,,,,,
215,M10056,m10056,,,,,
217,M10057,m10057,,,,,
218,M10058,m10058,,,,,
219,M10059,m10059,,,,,1
220,M10060,m10060,,,,,2
221,M10061,m10061,,,,,1
223,M10062,m10062,,,,,3
224,M10063,m10063,,,,,
225,M10064,m10064,,,,,2
227,M10065,m10065,,,,,1
228,M10066,m10066,,,,,1
230,M10067,m10067,,,,,
231,M10068,m10068,,,,,
232,M10069,m10069,,,,,
233,M10070,m10070,,,,,2
235,M10072,m10072,,,,,1
236,M10073,m10073,,,,,1
237,M10074,m10074,,,,,2
238,M10075,m10075,,,,,
241,M10076,m10076,,,,,2
242,M10077,m10077,,,,,
244,M10078,m10078,,,,,2
247,M10079,m10079,,,,,
248,M10080,m10080,,,,,2
251,M10081,m10081,,,,,1
252,M10082,m10082,,,,,1
254,M10083,m10083,,,,,1
255,M10084,m10084,,,,,2
256,M10085,m10085,,,,,3
257,M10086,m10086,,,,,4
258,M10087,m10087,,,,,1
259,M10088,m10088,,,,,
260,M10089,m10089,,,,,4
262,M10090,m10090,,,,,2
263,M10091,m10091,,,,,2
264,M10092,m10092,,,,,4
265,M10093,m10093,,,,,3
266,M10094,m10094,,,,,1
267,M10095,m10095,,,,,1
268,M10096,m10096,,,,,4
269,M10097,m10097,,,,,2
270,M10098,m10098,,,,,2
271,M10099,m10099,,,,,1
272,M10100,m10100,,,,,1
273,M10101,m10101,,,,,
274,M10102,m10102,,,,,4
275,M10103,m10103,,,,,2
276,M10104,m10104,,,,,2
277,M10105,m10105,,,,,2
278,M10106,m10106,,,,,4
279,M10107,m10107,,,,,3
281,M10108,m10108,,,,,1
282,M10109,m10109,,,,,5
283,M10110,m10110,,,,,3
284,M10111,m10111,,,,,4
285,M10112,m10112,,,,,6
286,M10113,m10113,,,,,3
288,M10114,m10114,,,,,
289,M10115,m10115,,,,,3
290,M10116,m10116,,,,,2
291,M10117,m10117,,,,,1
292,M10119,m10119,,,,,4
295,M10120,m10120,,,,,3
296,M10121,m10121,,,,,
297,M10122,m10122,,,,,
298,M10124,m10124,,,,,2
299,M10125,m10125,,,,,2
301,M10128,m10128,,,,,
303,M10129,m10129,,,,,3
306,M10130,m10130,,,,,1
307,M10131,m10131,,,,,1
308,M10132,m10132,,,,,4
309,M10133,m10133,,,,,2
310,M10134,m10134,,,,,1
311,M10135,m10135,,,,,4
312,M10136,m10136,,,,,
313,M10138,m10138,,,,,2
315,M10139,m10139,,,,,
316,M10140,m10140,,,,,
317,M10141,m10141,,,,,
318,M10142,m10142,,,,,1
320,M10144,m10144,,,,,2
323,M10145,m10145,,,,,1
324,M10146,m10146,,,,,1
327,M10147,m10147,,,,,1
328,M10148,m10148,,,,,2
330,M10149,m10149,,,,,1
331,M10150,m10150,,,,,1
332,M10151,m10151,,,,,1
334,M10152,m10152,,,,,2
336,M10153,m10153,,,,,1
337,M10154,m10154,,,,,2
338,M10155,m10155,,,,,3
340,M10156,m10156,,,,,
341,M10157,m10157,,,,,3
342,M10158,m10158,,,,,5
344,M10159,m10159,,,,,2
345,M10160,m10160,,,,,3
346,M10161,m10161,,,,,4
348,M10162,m10162,,,,,
349,M10163,m10163,,,,,5
350,M10164,m10164,,,,,
351,M10165,m10165,,,,,4
352,M10166,m10166,,,,,5
353,M10167,m10167,,,,,
354,M10168,m10168,,,,,5
355,M10169,m10169,,,,,3
356,M10170,m10170,,,,,5
357,M10171,m10171,,,,,
358,M10172,m10172,,,,,5
359,M10174,m10174,,,,,5
360,M10175,m10175,,,,,2
362,M10176,m10176,,,,,1
363,M10177,m10177,,,,,2
364,M10178,m10178,,,,,1
366,M10179,m10179,,,,,
367,M10181,m10181,,,,,4
368,M10182,m10182,,,,,4
370,M10183,m10183,,,,,2
371,M10184,m10184,,,,,
372,M10185,m10185,,,,,1
373,M10186,m10186,,,,,1
374,M10187,m10187,,,,,1
376,M10188,m10188,,,,,4
377,M10189,m10189,,,,,
378,M10190,m10190,,,,,3
379,M10191,m10191,,,,,2
380,M10192,m10192,,,,,1
381,M10193,m10193,,,,,1
382,M10194,m10194,,,,,2
383,M10195,m10195,,,,,
384,M10196,m10196,,,,,2
385,M10197,m10197,,,,,
387,M10199,m10199,,,,,6
388,M10200,m10200,,,,,3
390,M10201,m10201,,,,,
391,M10202,m10202,,,,,
392,M10203,m10203,,,,,3
393,M10204,m10204,,,,,3
395,M10205,m10205,,,,,
396,M10207,m10207,,,,,
397,M10208,m10208,,,,,3
398,M10209,m10209,,,,,3
399,M10210,m10210,,,,,3
400,M10211,m10211,,,,,4
402,M10212,m10212,,,,,2
405,M10214,m10214,,,,,1
408,M10215,m10215,,,,,2
409,M10217,m10217,,,,,1
410,M10218,m10218,,,,,2
412,M10219,m10219,,,,,2
413,M10220,m10220,,,,,1
414,M10221,m10221,,,,,4
415,M10222,m10222,,,,,2
416,M10223,m10223,,,,,3
417,M10224,m10224,,,,,
419,M10225,m10225,,,,,
420,M10226,m10226,,,,,
421,M10227,m10227,,,,,
422,M10228,m10228,,,,,
424,M10229,m10229,,,,,2
425,M10230,m10230,,,,,
426,M10231,m10231,,,,,2
428,M10232,m10232,,,,,1
430,M10233,m10233,,,,,1
431,M10234,m10234,,,,,1
432,M10235,m10235,,,,,1
433,M10236,m10236,,,,,1
434,M10237,m10237,,,,,1
435,M10238,m10238,,,,,1
437,M10239,m10239,,,,,1
438,M10240,m10240,,,,,1
439,M10241,m10241,,,,,1
440,M10242,m10242,,,,,1
442,M10243,m10243,,,,,1
443,M10244,m10244,,,,,1
445,M10245,m10245,,,,,1
447,M10246,m10246,,,,,
448,M10247,m10247,,,,,1
450,M10248,m10248,,,,,
451,M10249,m10249,,,,,1
452,M10250,m10250,,,,,
454,M10251,m10251,,,,,1
456,M10252,m10252,,,,,1
458,M10253,m10253,,,,,
459,M10254,m10254,,,,,1
460,M10255,m10255,,,,,1
461,M10256,m10256,,,,,1
463,M10257,m10257,,,,,
464,M10258,m10258,,,,,1
466,M10259,m10259,,,,,
467,M10260,m10260,,,,,
468,M10261,m10261,,,,,1
470,M10262,m10262,,,,,
471,M10263,m10263,,,,,
474,M10266,m10266,,,,,4
476,M10267,m10267,,,,,2
477,M10268,m10268,,,,,1
478,M10269,m10269,,,,,3
479,M10270,m10270,,,,,4
480,M10271,m10271,,,,,3
481,M10272,m10272,,,,,4
482,M10273,m10273,,,,,2
483,M10274,m10274,,,,,1
484,M10275,m10275,,,,,3
486,M10276,m10276,,,,,2
488,M10278,m10278,,,,,2
490,M10279,m10279,,,,,5
493,M10283,m10283,,,,,4
495,M10284,m10284,,,,,5
496,M10285,m10285,,,,,4
497,M10286,m10286,,,,,4
499,M10287,m10287,,,,,1
500,M10288,m10288,,,,,3
501,M10289,m10289,,,,,3
503,M10290,m10290,,,,,4
504,M10292,m10292,,,,,4
505,M10293,m10293,,,,,1
506,M10294,m10294,,,,,4
507,M10295,m10295,,,,,4
508,M10296,m10296,,,,,4
509,M10297,m10297,,,,,3
510,M10298,m10298,,,,,2
512,M10299,m10299,,,,,
513,M10300,m10300,,,,,
515,M10302,m10302,,,,,2
516,M10303,m10303,,,,,
518,M10304,m10304,,,,,4
520,M10305,m10305,,,,,
521,M10306,m10306,,,,,4
522,M10307,m10307,,,,,4
524,M10308,m10308,,,,,3
526,M10309,m10309,,,,,3
528,M10310,m10310,,,,,3
530,M10311,m10311,,,,,3
532,M10312,m10312,,,,,4
534,M10313,m10313,,,,,3
536,M10314,m10314,,,,,3
538,M10315,m10315,,,,,3
540,M10317,m10317,,,,,4
542,M10318,m10318,,,,,5
543,M10319,m10319,,,,,3
544,M10321,m10321,,,,,3
546,M10322,m10322,,,,,3
548,M10323,m10323,,,,,2
549,M10324,m10324,,,,,
550,M10325,m10325,,,,,
551,M10326,m10326,,,,,2
552,M10327,m10327,,,,,4
553,M10328,m10328,,,,,2
555,M10329,m10329,,,,,1
557,M10330,m10330,,,,,
558,M10331,m10331,,,,,
559,M10332,m10332,,,,,
560,M10333,m10333,,,,,
561,M10334,m10334,,,,,
562,M10335,m10335,,,,,
563,M10336,m10336,,,,,
565,M10337,m10337,,,,,
567,M10338,m10338,,,,,2
569,M10339,m10339,,,,,
570,M10340,m10340,,,,,
571,M10341,m10341,,,,,
572,M10343,m10343,,,,,
574,M10344,m10344,,,,,
575,M10345,m10345,,,,,
576,M10346,m10346,,,,,4
577,M10348,m10348,,,,,
578,M10349,m10349,,,,,
579,M10350,m10350,,,,,3
580,M10351,m10351,,,,,2
581,M10352,m10352,,,,,3
583,M10353,m10353,,,,,4
584,M10354,m10354,,,,,2
585,M10355,m10355,,,,,
586,M10356,m10356,,,,,
587,M10357,m10357,,,,,3
588,M10358,m10358,,,,,2
589,M10359,m10359,,,,,
590,M10361,m10361,,,,,3
591,M10362,m10362,,,,,
593,M10363,m10363,,,,,2
595,M10364,m10364,,,,,3
596,M10365,m10365,,,,,3
598,M10366,m10366,,,,,3
600,M10368,m10368,,,,,
603,M10369,m10369,,,,,3
604,M10370,m10370,,,,,4
605,M10371,m10371,,,,,1
607,M10372,m10372,,,,,1
608,M10373,m10373,,,,,5
609,M10374,m10374,,,,,2
611,M10376,m10376,,,,,3
612,M10377,m10377,,,,,2
613,M10378,m10378,,,,,3
614,M10379,m10379,,,,,
615,M10380,m10380,,,,,3
616,M10381,m10381,,,,,4
617,M10382,m10382,,,,,2
618,M10383,m10383,,,,,4
619,M10384,m10384,,,,,4
620,M10385,m10385,,,,,2
621,M10386,m10386,,,,,2
622,M10387,m10387,,,,,1
624,M10388,m10388,,,,,
625,M10389,m10389,,,,,4
626,M10390,m10390,,,,,4
627,M10391,m10391,,,,,3
628,M10392,m10392,,,,,1
629,M10393,m10393,,,,,4
630,M10394,m10394,,,,,
632,M10395,m10395,,,,,
633,M10396,m10396,,,,,2
634,M10397,m10397,,,,,1
635,M10400,m10400,,,,,3
637,M10403,m10403,,,,,2
638,M10404,m10404,,,,,7
639,M10405,m10405,,,,,1
640,M10406,m10406,,,,,1
641,M10407,m10407,,,,,1
642,M10408,m10408,,,,,3
643,M10409,m10409,,,,,3
644,M10410,m10410,,,,,
647,M10411,m10411,,,,,
650,M10412,m10412,,,,,1
651,M10413,m10413,,,,,
652,M10414,m10414,,,,,1
653,M10415,m10415,,,,,5
655,M10416,m10416,,,,,
656,M10417,m10417,,,,,2
657,M10418,m10418,,,,,
658,M10419,m10419,,,,,5
659,M10420,m10420,,,,,1
661,M10421,m10421,,,,,1
662,M10422,m10422,,,,,
664,M10423,m10423,,,,,
667,M10424,m10424,,,,,
670,M10426,m10426,,,,,2
671,M10427,m10427,,,,,1
672,M10428,m10428,,,,,1
673,M10429,m10429,,,,,1
674,M10430,m10430,,,,,1
675,M10431,m10431,,,,,2
677,M10432,m10432,,,,,1
678,M10433,m10433,,,,,4
679,M10434,m10434,,,,,
680,M10435,m10435,,,,,3
681,M10436,m10436,,,,,
682,M10437,m10437,,,,,
684,M10438,m10438,,,,,2
685,M10439,m10439,,,,,2
686,M10440,m10440,,,,,3
687,M10441,m10441,,,,,2
688,M10442,m10442,,,,,4
689,M10443,m10443,,,,,4
690,M10444,m10444,,,,,3
692,M10445,m10445,,,,,2
694,M10446,m10446,,,,,2
695,M10447,m10447,,,,,4
696,M10448,m10448,,,,,4
697,M10449,m10449,,,,,2
698,M10450,m10450,,,,,2
700,M10451,m10451,,,,,2
702,M10453,m10453,,,,,2
703,M10454,m10454,,,,,2
704,M10455,m10455,,,,,5
705,M10456,m10456,,,,,2
707,M10457,m10457,,,,,1
708,M10458,m10458,,,,,2
709,M10459,m10459,,,,,2
710,M10460,m10460,,,,,1
711,M10461,m10461,,,,,1
712,M10462,m10462,,,,,2
714,M10464,m10464,,,,,1
716,M10465,m10465,,,,,
717,M10466,m10466,,,,,
718,M10467,m10467,,,,,1
719,M10468,m10468,,,,,
721,M10470,m10470,,,,,2
722,M10471,m10471,,,,,
723,M10472,m10472,,,,,
725,M10474,m10474,,,,,
726,M10475,m10475,,,,,3
727,M10476,m10476,,,,,
728,M10477,m10477,,,,,1
729,M10479,m10479,,,,,
730,M10481,m10481,,,,,1
731,M10482,m10482,,,,,1
732,M10483,m10483,,,,,3
733,M10484,m10484,,,,,1
734,M10486,m10486,,,,,2
735,M10487,m10487,,,,,2
737,M10488,m10488,,,,,
738,M10489,m10489,,,,,2
739,M10490,m10490,,,,,1
740,M10492,m10492,,,,,1
741,M10493,m10493,,,,,
742,M10494,m10494,,,,,4
743,M10495,m10495,,,,,2
744,M10496,m10496,,,,,1
746,M10497,m10497,,,,,4
747,M10498,m10498,,,,,2
748,M10499,m10499,,,,,2
749,M10500,m10500,,,,,5
750,M10501,m10501,,,,,5
751,M10502,m10502,,,,,2
752,M10504,m10504,,,,,1
754,M10505,m10505,,,,,5
756,M10506,m10506,,,,,3
758,M10507,m10507,,,,,
759,M10508,m10508,,,,,1
760,M10509,m10509,,,,,2
762,M10511,m10511,,,,,1
763,M10513,m10513,,,,,2
764,M10515,m10515,,,,,2
765,M10517,m10517,,,,,2
767,M10519,m10519,,,,,1
768,M10520,m10520,,,,,
769,M10521,m10521,,,,,1
771,M10522,m10522,,,,,2
772,M10523,m10523,,,,,2
774,M10524,m10524,,,,,2
775,M10525,m10525,,,,,2
776,M10526,m10526,,,,,2
777,M10527,m10527,,,,,
779,M10528,m10528,,,,,
782,M10531,m10531,,,,,
784,M10532,m10532,,,,,1
785,M10534,m10534,,,,,2
786,M10535,m10535,,,,,
787,M10537,m10537,,,,,1
788,M10538,m10538,,,,,
789,M10540,m10540,,,,,1
790,M10542,m10542,,,,,1
791,M10543,m10543,,,,,2
792,M10545,m10545,,,,,1
793,M10546,m10546,,,,,1
794,M10547,m10547,,,,,2
795,M10548,m10548,,,,,3
796,M10549,m10549,,,,,1
797,M10550,m10550,,,,,2
798,M10551,m10551,,,,,2
799,M10552,m10552,,,,,1
800,M10553,m10553,,,,,
801,M10554,m10554,,,,,3
802,M10555,m10555,,,,,3
803,M10557,m10557,,,,,
804,M10558,m10558,,,,,
805,M10561,m10561,,,,,1
806,M10562,m10562,,,,,
807,M10563,m10563,,,,,2
808,M10564,m10564,,,,,2
809,M10566,m10566,,,,,2
810,M10568,m10568,,,,,1
813,M10569,m10569,,,,,
815,M10570,m10570,,,,,
816,M10571,m10571,,,,,
817,M10572,m10572,,,,,
818,M10573,m10573,,,,,
819,M10574,m10574,,,,,
820,M10575,m10575,,,,,
821,M10576,m10576,,,,,
823,M10577,m10577,,,,,
824,M10578,m10578,,,,,
826,M10579,m10579,,,,,2
827,M10580,m10580,,,,,1
828,M10581,m10581,,,,,2
829,M10582,m10582,,,,,1
830,M10583,m10583,,,,,1
831,M10584,m10584,,,,,2
833,M10585,m10585,,,,,1
834,M10586,m10586,,,,,2
835,M10587,m10587,,,,,2
836,M10588,m10588,,,,,1
837,M10589,m10589,,,,,1
839,M10590,m10590,,,,,4
841,M10591,m10591,,,,,5
842,M10592,m10592,,,,,1
843,M10593,m10593,,,,,3
844,M10594,m10594,,,,,2
845,M10595,m10595,,,,,2
846,M10596,m10596,,,,,1
847,M10597,m10597,,,,,
848,M10601,m10601,,,,,3
850,M10603,m10603,,,,,2
852,M10604,m10604,,,,,2
854,M10606,m10606,,,,,
856,M10607,m10607,,,,,4
858,M10608,m10608,,,,,4
859,M10609,m10609,,,,,4
861,M10610,m10610,,,,,
863,M10611,m10611,,,,,5
864,M10613,m10613,,,,,3
865,M10614,m10614,,,,,4
866,M10615,m10615,,,,,
867,M10616,m10616,,,,,3
869,M10617,m10617,,,,,2
870,M10618,m10618,,,,,4
871,M10619,m10619,,,,,3
872,M10620,m10620,,,,,4
873,M10621,m10621,,,,,
874,M10622,m10622,,,,,4
875,M10623,m10623,,,,,4
876,M10624,m10624,,,,,3
877,M10625,m10625,,,,,2
878,M10626,m10626,,,,,
879,M10627,m10627,,,,,
880,M10628,m10628,,,,,
881,M10629,m10629,,,,,
882,M10630,m10630,,,,,4
883,M10631,m10631,,,,,2
884,M10633,m10633,,,,,4
885,M10634,m10634,,,,,3
886,M10635,m10635,,,,,2
887,M10636,m10636,,,,,
888,M10637,m10637,,,,,
891,M10639,m10639,,,,,2
892,M10640,m10640,,,,,3
893,M10641,m10641,,,,,4
895,M10642,m10642,,,,,3
896,M10643,m10643,,,,,5
898,M10645,m10645,,,,,2
899,M10646,m10646,,,,,
900,M10647,m10647,,,,,3
901,M10648,m10648,,,,,
902,M10649,m10649,,,,,3
904,M10650,m10650,,,,,1
906,M10651,m10651,,,,,2
908,M10653,m10653,,,,,2
910,M10654,m10654,,,,,6
912,M10655,m10655,,,,,2
913,M10656,m10656,,,,,3
914,M10657,m10657,,,,,6
915,M10658,m10658,,,,,
916,M10659,m10659,,,,,1
917,M10660,m10660,,,,,5
919,M10661,m10661,,,,,
